,shifting,gfpm_wt
41948,0,0.800784211
48124,1,3.227926186
42121,0,0.533898863
46470,1,1.39285857
38062,1,2.030262312
41047,1,6.869563928
41493,1,2.469765529
41970,1,3.174172875
38910,0,1.100239276
38884,0,0.671593725
47053,0,0.722061601
41916,1,3.526980854
41973,1,2.403740495
39371,0,0.960237447
45567,1,3.033066409
39716,1,4.640973464
37559,0,1.208828084
42886,0,0.789267846
43575,1,3.31604036
41487,1,2.874876957
47976,0,1.017418198
45697,1,2.116263357
42107,1,4.170658337
40760,1,2.625666454
42140,1,4.36383638
38924,0,0.889904957
40749,1,5.294124507
43263,0,0.964516224
44707,1,2.825222256
37550,1,4.516204343
45966,0,0.664866581
40608,1,3.350219979
41174,0,1.013930598
46505,0,0.532697403
42013,1,3.137122958
39859,0,1.158722355
38171,0,0.751290114
37557,0,0.68119616
44760,1,2.729024458
43316,1,2.841708244
38005,0,0.948554971
40485,1,2.670506864
46423,1,2.678425356
37503,0,1.126942741
39385,0,0.267840697
45941,1,1.383632603
42078,0,0.860416417
46445,1,4.591244912
39257,0,1.0335639
38055,0,0.539774578
46475,0,1.189082948
44569,1,3.307872148
43260,1,2.57753371
45970,0,1.282283927
47972,0,1.204702786
44851,1,3.008746678
37599,1,3.629000106
42045,0,0.692454072
43764,1,4.704837243
38023,1,1.579189111
38880,0,0.930180018
42956,1,5.073409889
37558,0,0.433558061
39427,1,1.466206695
37524,1,1.444460896
39749,0,0.335110039
40887,1,2.381219009
43291,0,0.681884635
44112,1,2.637984681
45939,1,1.717922937
44065,1,3.77210835
44746,0,1.053838171
41139,1,3.858682114
39636,0,0.807113862
43000,1,12.15635767
45274,0,0.231776691
41445,0,0.482337554
40466,1,2.673789326
45949,1,1.573085073
41341,1,3.379115631
40467,1,2.555904616
41443,1,2.398214603
39752,0,0.572869733
42147,1,7.518143644
45269,0,0.967130785
37505,1,1.954352507
41929,1,1.365609181
41048,1,5.433821326
40108,1,4.152272532
38935,0,0.25739286
44067,1,3.064639255
44731,1,3.449224059
41989,1,3.83726576
41149,1,4.45542583
45008,0,0.85264812
39416,0,0.476339443
43777,0,0.61012928
45271,0,0.680617362
45738,0,0.382136457
41972,1,3.196790738
39870,1,1.882547777
42889,0,0.541136647
42115,1,4.005271862
44750,1,2.583126238
40611,1,3.372479005
40012,1,1.573047093
42914,0,0.874934988
41172,1,6.564658575
41039,1,2.463715997
43324,1,3.148019882
38930,0,0.568894237
43356,1,1.917563303
39583,1,3.839428406
46521,0,0.741685474
42051,0,0.807693792
39739,0,0.281585656
42942,0,0.683384816
41334,1,3.222541324
42939,0,0.419278893
42909,1,3.825408687
45698,0,1.028976395
40125,0,0.594083167
37492,1,1.434791108
43352,1,2.642795892
43348,1,2.745938451
45132,0,1.131537072
41327,0,0.352271261
46436,0,1.123180332
42002,1,2.579925668
45115,1,1.963718148
42966,1,4.092612156
40604,1,4.500784557
39419,0,0.403887849
44747,1,1.485648046
41033,1,2.293768386
44853,0,0.895773916
42903,0,0.609388582
38925,0,0.369277851
38904,0,0.758863693
41974,1,3.288674401
42129,0,0.66439941
45543,0,0.658518473
43577,1,2.850302367
44122,0,0.283776718
42993,1,3.759409178
42895,0,0.887072391
40721,1,4.248525797
45239,0,1.081953482
42106,1,4.880948198
45931,0,1.107573121
42946,1,5.165137412
45768,0,1.227423703
44565,1,3.606586242
45268,0,1.110075228
38916,0,0.833037061
39868,0,0.776655606
47054,1,1.651187577
43001,1,5.477985339
42085,0,0.375762805
