identifier,predicted to frameshift?,predicted probability,predicted %GFP
41948,no,0.311249047518,1.5998660326
48124,yes,0.941091358662,3.22443652153
42121,yes,0.849285185337,3.86921572685
46470,no,0.350220292807,1.57634866238
38062,yes,0.766777992249,2.30345630646
41047,yes,0.862831711769,4.07711219788
41493,yes,0.936399042606,2.5811445713
41970,yes,0.937539875507,3.14067220688
38910,no,0.0898972153664,0.362894892693
38884,no,0.0723882466555,0.689651727676
47053,yes,0.552108168602,1.00343859196
41916,no,0.426680475473,2.0790708065
41973,yes,0.934477686882,3.22443652153
39371,no,0.208292886615,1.30750608444
45567,yes,0.557999074459,2.28856539726
39716,no,0.177602365613,0.253945708275
37559,no,0.210574537516,1.69297325611
42886,no,0.174375966191,1.29889941216
43575,yes,0.943863034248,3.11367702484
41487,yes,0.931830644608,2.68386626244
47976,no,0.0536364279687,-0.100579559803
45697,yes,0.920585930347,2.27461886406
42107,yes,0.849285185337,3.86921572685
40760,yes,0.899789392948,2.5811445713
42140,yes,0.849285185337,3.86921572685
38924,no,0.0954498946667,0.702066898346
40749,yes,0.88321429491,3.71784329414
43263,no,0.157731071115,0.847079873085
44707,yes,0.837075173855,2.5943775177
37550,yes,0.838078975677,2.75611543655
45966,no,0.16356484592,1.59687876701
40608,yes,0.912057816982,3.66512346268
41174,yes,0.945941984653,2.85173535347
46505,no,0.18835054338,1.01748514175
42013,yes,0.934477686882,3.01669716835
39859,no,0.294970542192,1.17597961426
38171,no,0.157422140241,0.633635282516
37557,no,0.258288353682,1.4409828186
44760,yes,0.936399042606,2.5811445713
43316,yes,0.943401038647,2.80279898643
38005,no,0.182233512402,1.44335496426
40485,yes,0.782189548016,2.90009760857
46423,no,0.102507181466,0.867599546909
37503,no,0.330183506012,2.50943684578
39385,no,0.112719722092,1.30982041359
45941,no,0.373962879181,2.01901626587
42078,no,0.0976581498981,1.08767437935
46445,no,0.104215122759,1.34254574776
39257,no,0.219633355737,1.47032260895
38055,no,0.220246374607,1.42810630798
46475,yes,0.713964164257,1.79549181461
44569,yes,0.872479557991,3.95760512352
43260,yes,0.931830644608,2.5811445713
45970,no,0.117517277598,1.36406135559
47972,no,0.064787492156,1.2149848938
44851,no,0.232239201665,1.54042232037
37599,yes,0.819126725197,2.77104997635
42045,no,0.174035832286,1.55602025986
43764,yes,0.887403726578,3.89275121689
38023,no,0.241103827953,1.03813171387
38880,no,0.110229864717,0.573398590088
42956,yes,0.899059593678,3.95760512352
37558,no,0.0701587051153,1.10592746735
39427,no,0.16891092062,1.13748371601
37524,no,0.310768663883,1.92510688305
39749,no,0.0848251283169,0.539492428303
40887,yes,0.912057816982,4.01626157761
43291,no,0.157731071115,0.847079873085
44112,yes,0.936728060246,3.14890933037
45939,yes,0.573780298233,1.93942332268
44065,yes,0.937300086021,3.14890933037
44746,yes,0.791589438915,2.39849948883
41139,yes,0.895118534565,3.99795055389
39636,no,0.457726836205,1.14216351509
43000,yes,0.899059593678,3.94899868965
45274,no,0.104049913585,1.1874358654
41445,yes,0.912057816982,4.03275299072
40466,yes,0.878730177879,2.84234952927
45949,no,0.307902872562,1.54976952076
41341,yes,0.940098524094,3.32613515854
40467,yes,0.878730177879,2.68373036385
41443,yes,0.899059593678,3.95760512352
39752,no,0.130777955055,0.480018973351
42147,yes,0.849285185337,3.86921572685
45269,no,0.0699098035693,0.950278639793
37505,no,0.232180118561,1.71019804478
41929,no,0.450843065977,1.69002449512
41048,yes,0.789028286934,3.8314371109
40108,no,0.147081881762,1.03987467289
38935,no,0.109943024814,1.44141244888
44067,yes,0.870562314987,2.96693682671
44731,yes,0.936020493507,2.31720018387
41989,yes,0.941091358662,3.01669716835
41149,yes,0.88321429491,3.79812979698
45008,yes,0.85207337141,2.27355909348
39416,no,0.0889587178826,1.20252716541
43777,no,0.386400938034,2.88488268852
45271,no,0.062686316669,0.725199222565
45738,no,0.244222119451,1.64538574219
41972,yes,0.937539875507,3.14067220688
39870,no,0.154279947281,1.08074939251
42889,no,0.208292886615,1.30750608444
42115,yes,0.849285185337,3.86921572685
44750,yes,0.780421555042,2.39539289474
40611,yes,0.895118534565,3.67595458031
40012,no,0.314260214567,1.68234276772
42914,no,0.180608183146,1.29889941216
41172,yes,0.879127025604,2.73638415337
41039,yes,0.941091358662,3.22443652153
43324,yes,0.946586310863,2.80279898643
38930,no,0.0933080017567,0.650897562504
43356,yes,0.934840917587,2.5811445713
39583,no,0.110279493034,1.00645756721
46521,no,0.102245233953,1.34563803673
42051,no,0.174035832286,1.65720701218
39739,no,0.0790208503604,1.4276150465
42942,no,0.208292886615,1.19004368782
41334,yes,0.941091358662,3.22443652153
42939,no,0.208292886615,1.19004368782
42909,yes,0.899059593678,3.95760512352
45698,yes,0.75781494379,1.96837222576
40125,no,0.0639717429876,0.452583223581
37492,no,0.182164669037,0.973834395409
43352,yes,0.943401038647,2.80279898643
43348,yes,0.943401038647,2.80279898643
45132,no,0.113241672516,0.7319663167
41327,yes,0.941091358662,3.22443652153
46436,no,0.236944690347,1.08346748352
42002,yes,0.937539875507,3.14067220688
45115,no,0.327276557684,1.50593614578
42966,yes,0.899059593678,3.95760512352
40604,yes,0.899059593678,3.53994560242
39419,no,0.0915972813964,1.39193224907
44747,yes,0.791589438915,2.39539289474
41033,yes,0.941091358662,3.22443652153
44853,no,0.42286336422,2.84200310707
42903,no,0.159254819155,1.2352451086
38925,no,0.0490196719766,0.576106667519
38904,no,0.0802823677659,0.572189152241
41974,yes,0.933381319046,3.29882884026
42129,yes,0.849285185337,3.86921572685
45543,no,0.488990992308,1.31761193275
43577,yes,0.940098524094,3.12980699539
44122,no,0.14518815279,2.04000520706
42993,yes,0.899059593678,3.97409677505
42895,no,0.180608183146,1.29889941216
40721,yes,0.850163280964,3.64549088478
45239,yes,0.530063569546,2.13251018524
42106,yes,0.849285185337,3.86921572685
45931,yes,0.656975626945,2.42238020897
42946,yes,0.899059593678,3.94899868965
45768,no,0.0989250093699,1.12633049488
44565,yes,0.724913179874,3.79553794861
45268,no,0.078238658607,1.11075973511
38916,no,0.160431131721,1.34507322311
39868,no,0.257611274719,1.51060390472
47054,no,0.451174259186,1.19756126404
43001,yes,0.90186548233,3.92727732658
42085,no,0.0976581498981,0.894317209721
